FECHA,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LIMA REGION,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI,PERÃš
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-03-15,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
2020-03-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
2020-03-19,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
2020-03-20,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,26.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,56.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0
2020-03-22,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
2020-03-23,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0
2020-03-24,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
2020-03-25,0.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,83.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,38.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,34.0
2020-03-28,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,7.0,82.0,1.0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,136.0
2020-03-29,0.0,5.0,0.0,6.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,143.0
2020-03-30,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,8.0,90.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,130.0
2020-03-31,0.0,2.0,0.0,4.0,0.0,0.0,12.0,8.0,1.0,0.0,3.0,0.0,11.0,4.0,190.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,250.0
2020-04-01,0.0,0.0,1.0,0.0,0.0,1.0,22.0,4.0,0.0,0.0,0.0,2.0,7.0,1.0,58.0,3.0,11.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,117.0
2020-04-02,0.0,2.0,0.0,7.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,168.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,222.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,2.0,14.0,4.0,1.0,0.0,4.0,8.0,5.0,31.0,170.0,16.0,25.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,6.0,1.0,293.0
2020-04-04,0.0,9.0,0.0,14.0,2.0,0.0,174.0,11.0,0.0,0.0,5.0,0.0,1.0,49.0,482.0,19.0,41.0,0.0,1.0,1.0,5.0,0.0,1.0,6.0,10.0,6.0,837.0
2020-04-05,4.0,7.0,0.0,9.0,2.0,0.0,48.0,2.0,1.0,1.0,4.0,4.0,7.0,8.0,309.0,5.0,31.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,445.0
2020-04-06,1.0,13.0,0.0,7.0,0.0,0.0,66.0,1.0,5.0,3.0,7.0,0.0,4.0,28.0,476.0,9.0,10.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,5.0,5.0,650.0
2020-04-07,4.0,26.0,0.0,4.0,0.0,3.0,51.0,0.0,1.0,2.0,9.0,13.0,22.0,156.0,614.0,18.0,100.0,0.0,0.0,0.0,11.0,0.0,3.0,1.0,4.0,1.0,1043.0
2020-04-08,5.0,10.0,0.0,5.0,3.0,3.0,128.0,3.0,0.0,5.0,9.0,2.0,22.0,75.0,674.0,22.0,68.0,3.0,1.0,0.0,21.0,0.0,4.0,0.0,22.0,0.0,1085.0
2020-04-09,5.0,12.0,3.0,6.0,2.0,6.0,49.0,2.0,0.0,7.0,5.0,14.0,7.0,20.0,609.0,16.0,4.0,1.0,0.0,5.0,40.0,1.0,5.0,0.0,1.0,0.0,820.0
2020-04-10,0.0,16.0,0.0,2.0,2.0,0.0,88.0,3.0,0.0,3.0,15.0,2.0,5.0,59.0,765.0,26.0,7.0,0.0,4.0,1.0,36.0,0.0,0.0,0.0,3.0,3.0,1040.0
2020-04-11,0.0,25.0,2.0,12.0,0.0,1.0,303.0,43.0,2.0,7.0,20.0,8.0,9.0,67.0,746.0,24.0,13.0,16.0,3.0,2.0,49.0,1.0,15.0,0.0,39.0,1.0,1408.0
2020-04-12,8.0,7.0,0.0,15.0,0.0,1.0,38.0,0.0,2.0,4.0,3.0,4.0,3.0,56.0,516.0,8.0,25.0,14.0,0.0,0.0,32.0,0.0,0.0,0.0,6.0,3.0,745.0
2020-04-13,0.0,20.0,7.0,12.0,5.0,4.0,311.0,1.0,1.0,5.0,27.0,9.0,23.0,59.0,700.0,18.0,26.0,5.0,2.0,2.0,33.0,1.0,0.0,0.0,14.0,11.0,1296.0
2020-04-14,8.0,28.0,10.0,13.0,5.0,7.0,85.0,3.0,1.0,10.0,6.0,33.0,25.0,60.0,619.0,8.0,31.0,4.0,6.0,2.0,55.0,0.0,6.0,3.0,22.0,6.0,1056.0
2020-04-15,11.0,42.0,4.0,27.0,4.0,10.0,104.0,1.0,4.0,14.0,14.0,12.0,27.0,176.0,758.0,30.0,12.0,7.0,4.0,3.0,77.0,4.0,13.0,2.0,19.0,22.0,1401.0
2020-04-16,3.0,37.0,4.0,41.0,1.0,6.0,100.0,9.0,6.0,11.0,23.0,28.0,25.0,86.0,826.0,23.0,8.0,6.0,5.0,3.0,52.0,2.0,11.0,7.0,13.0,7.0,1343.0
2020-04-17,1.0,25.0,6.0,12.0,4.0,10.0,118.0,12.0,1.0,38.0,22.0,20.0,26.0,77.0,558.0,32.0,58.0,5.0,5.0,3.0,49.0,4.0,12.0,9.0,7.0,15.0,1129.0
2020-04-18,3.0,56.0,5.0,33.0,0.0,7.0,107.0,15.0,0.0,20.0,19.0,15.0,33.0,48.0,845.0,31.0,71.0,4.0,0.0,17.0,44.0,9.0,12.0,8.0,6.0,19.0,1427.0
2020-04-19,1.0,10.0,0.0,3.0,3.0,2.0,82.0,0.0,2.0,4.0,4.0,5.0,10.0,27.0,813.0,38.0,42.0,0.0,1.0,2.0,12.0,0.0,1.0,4.0,6.0,22.0,1094.0
2020-04-20,3.0,34.0,1.0,28.0,3.0,11.0,374.0,15.0,3.0,7.0,28.0,19.0,53.0,146.0,1093.0,51.0,42.0,5.0,9.0,13.0,54.0,10.0,7.0,7.0,17.0,26.0,2059.0
2020-04-21,7.0,45.0,8.0,28.0,1.0,9.0,436.0,7.0,1.0,10.0,22.0,28.0,45.0,133.0,1215.0,51.0,20.0,6.0,8.0,12.0,51.0,16.0,5.0,6.0,2.0,23.0,2195.0
2020-04-22,2.0,30.0,4.0,43.0,2.0,35.0,124.0,19.0,4.0,5.0,32.0,20.0,47.0,138.0,1381.0,70.0,18.0,13.0,4.0,9.0,72.0,8.0,5.0,8.0,7.0,24.0,2124.0
2020-04-23,2.0,46.0,5.0,56.0,2.0,8.0,159.0,14.0,3.0,9.0,34.0,22.0,40.0,177.0,1251.0,50.0,25.0,3.0,7.0,12.0,103.0,8.0,2.0,14.0,12.0,15.0,2079.0
2020-04-24,6.0,56.0,2.0,66.0,5.0,22.0,125.0,3.0,3.0,9.0,16.0,11.0,23.0,214.0,1278.0,58.0,79.0,3.0,16.0,10.0,152.0,17.0,13.0,8.0,20.0,51.0,2266.0
2020-04-25,9.0,56.0,19.0,24.0,7.0,17.0,170.0,11.0,14.0,49.0,30.0,15.0,54.0,136.0,1343.0,88.0,84.0,7.0,19.0,16.0,159.0,20.0,29.0,7.0,12.0,21.0,2416.0
2020-04-26,8.0,13.0,5.0,4.0,13.0,3.0,67.0,1.0,11.0,6.0,10.0,12.0,8.0,71.0,959.0,34.0,59.0,1.0,6.0,6.0,80.0,14.0,16.0,4.0,9.0,18.0,1438.0
2020-04-27,14.0,43.0,12.0,76.0,19.0,11.0,231.0,14.0,18.0,20.0,51.0,33.0,71.0,297.0,1894.0,103.0,74.0,10.0,3.0,15.0,237.0,28.0,23.0,5.0,16.0,109.0,3427.0
2020-04-28,9.0,98.0,10.0,76.0,13.0,14.0,202.0,23.0,14.0,15.0,92.0,43.0,178.0,241.0,1680.0,66.0,174.0,3.0,12.0,9.0,143.0,22.0,43.0,22.0,14.0,184.0,3400.0
2020-04-29,14.0,71.0,13.0,111.0,32.0,29.0,190.0,22.0,20.0,13.0,134.0,45.0,143.0,251.0,2450.0,74.0,230.0,8.0,23.0,14.0,153.0,20.0,21.0,23.0,52.0,87.0,4243.0
2020-04-30,37.0,108.0,35.0,69.0,21.0,48.0,256.0,34.0,17.0,21.0,53.0,66.0,137.0,217.0,1652.0,146.0,94.0,3.0,10.0,3.0,180.0,29.0,15.0,16.0,30.0,79.0,3376.0
2020-05-01,85.0,66.0,0.0,38.0,26.0,19.0,115.0,6.0,68.0,8.0,38.0,26.0,54.0,234.0,1299.0,107.0,156.0,3.0,12.0,7.0,142.0,10.0,18.0,6.0,19.0,76.0,2638.0
2020-05-02,50.0,119.0,5.0,31.0,20.0,29.0,214.0,13.0,61.0,3.0,53.0,55.0,116.0,146.0,1842.0,92.0,106.0,3.0,6.0,11.0,202.0,14.0,30.0,6.0,44.0,106.0,3377.0
2020-05-03,2.0,25.0,0.0,7.0,5.0,13.0,95.0,2.0,25.0,4.0,31.0,48.0,52.0,132.0,1158.0,65.0,25.0,0.0,0.0,5.0,86.0,11.0,20.0,7.0,11.0,94.0,1923.0
2020-05-04,26.0,108.0,6.0,60.0,27.0,15.0,200.0,8.0,12.0,16.0,70.0,49.0,126.0,332.0,2148.0,233.0,136.0,5.0,16.0,31.0,226.0,13.0,9.0,8.0,27.0,91.0,3998.0
2020-05-05,12.0,125.0,3.0,57.0,18.0,17.0,270.0,26.0,36.0,11.0,47.0,69.0,151.0,234.0,2316.0,109.0,65.0,5.0,14.0,11.0,248.0,20.0,20.0,10.0,34.0,59.0,3987.0
2020-05-06,11.0,74.0,1.0,56.0,23.0,11.0,253.0,50.0,3.0,11.0,65.0,57.0,112.0,193.0,2217.0,49.0,110.0,6.0,5.0,10.0,216.0,6.0,31.0,7.0,14.0,81.0,3672.0
2020-05-07,9.0,78.0,0.0,47.0,15.0,8.0,330.0,48.0,5.0,12.0,78.0,64.0,54.0,158.0,2266.0,102.0,76.0,3.0,4.0,7.0,156.0,3.0,62.0,3.0,14.0,12.0,3614.0
2020-05-08,20.0,53.0,0.0,39.0,25.0,12.0,224.0,49.0,13.0,5.0,102.0,42.0,73.0,154.0,1943.0,73.0,126.0,5.0,25.0,3.0,145.0,1.0,50.0,6.0,12.0,101.0,3301.0
2020-05-09,4.0,70.0,1.0,59.0,11.0,6.0,186.0,11.0,5.0,13.0,39.0,35.0,84.0,68.0,1366.0,43.0,105.0,14.0,2.0,8.0,91.0,8.0,28.0,9.0,22.0,190.0,2478.0
2020-05-10,0.0,11.0,0.0,25.0,2.0,2.0,42.0,2.0,1.0,2.0,12.0,18.0,40.0,27.0,586.0,13.0,51.0,0.0,0.0,2.0,38.0,1.0,14.0,0.0,2.0,47.0,938.0
2020-05-11,12.0,121.0,3.0,51.0,15.0,13.0,212.0,56.0,1.0,16.0,43.0,44.0,58.0,127.0,2225.0,124.0,195.0,18.0,5.0,3.0,165.0,4.0,11.0,4.0,31.0,47.0,3604.0
2020-05-12,11.0,101.0,5.0,104.0,19.0,22.0,316.0,33.0,1.0,13.0,98.0,39.0,106.0,130.0,2837.0,95.0,125.0,12.0,2.0,12.0,135.0,6.0,12.0,4.0,29.0,84.0,4351.0
2020-05-13,8.0,152.0,2.0,112.0,20.0,3.0,355.0,47.0,5.0,62.0,77.0,74.0,73.0,165.0,2620.0,178.0,157.0,17.0,12.0,10.0,115.0,3.0,29.0,7.0,36.0,110.0,4449.0
2020-05-14,3.0,179.0,2.0,121.0,13.0,12.0,325.0,31.0,12.0,26.0,90.0,29.0,85.0,182.0,2063.0,79.0,133.0,10.0,9.0,16.0,135.0,2.0,38.0,10.0,23.0,111.0,3739.0
2020-05-15,23.0,167.0,3.0,96.0,50.0,20.0,310.0,6.0,6.0,23.0,104.0,51.0,214.0,263.0,2221.0,210.0,241.0,5.0,1.0,10.0,102.0,9.0,22.0,15.0,38.0,104.0,4314.0
2020-05-16,32.0,103.0,0.0,85.0,40.0,14.0,215.0,10.0,5.0,8.0,122.0,43.0,147.0,134.0,2283.0,110.0,157.0,20.0,13.0,20.0,58.0,3.0,54.0,11.0,39.0,407.0,4133.0
2020-05-17,1.0,49.0,2.0,8.0,9.0,2.0,108.0,0.0,9.0,5.0,34.0,8.0,6.0,27.0,1241.0,50.0,78.0,0.0,1.0,8.0,50.0,0.0,19.0,0.0,15.0,57.0,1787.0
2020-05-18,20.0,97.0,4.0,86.0,15.0,20.0,238.0,7.0,6.0,17.0,184.0,102.0,120.0,225.0,2886.0,198.0,167.0,17.0,11.0,10.0,204.0,7.0,93.0,22.0,24.0,354.0,5134.0
2020-05-19,30.0,281.0,3.0,122.0,17.0,28.0,382.0,40.0,16.0,20.0,95.0,41.0,134.0,218.0,2648.0,158.0,262.0,10.0,45.0,22.0,340.0,7.0,89.0,14.0,43.0,142.0,5207.0
2020-05-20,12.0,125.0,0.0,156.0,17.0,28.0,349.0,31.0,10.0,17.0,107.0,47.0,143.0,134.0,2748.0,199.0,197.0,6.0,64.0,26.0,470.0,9.0,44.0,13.0,31.0,317.0,5300.0
2020-05-21,54.0,134.0,5.0,144.0,22.0,19.0,382.0,41.0,17.0,10.0,179.0,39.0,269.0,166.0,2864.0,99.0,204.0,10.0,49.0,33.0,434.0,40.0,52.0,44.0,48.0,170.0,5528.0
2020-05-22,25.0,181.0,14.0,197.0,41.0,29.0,428.0,44.0,24.0,38.0,108.0,54.0,235.0,158.0,3223.0,197.0,158.0,42.0,60.0,52.0,483.0,25.0,27.0,35.0,46.0,193.0,6117.0
2020-05-23,8.0,141.0,9.0,146.0,36.0,50.0,346.0,32.0,6.0,23.0,92.0,38.0,187.0,201.0,2794.0,258.0,152.0,32.0,36.0,45.0,543.0,10.0,20.0,52.0,34.0,125.0,5416.0
2020-05-24,5.0,52.0,0.0,35.0,6.0,7.0,72.0,6.0,7.0,7.0,20.0,21.0,68.0,96.0,923.0,59.0,96.0,1.0,18.0,25.0,199.0,2.0,15.0,2.0,16.0,36.0,1794.0
2020-05-25,50.0,179.0,22.0,192.0,27.0,33.0,412.0,51.0,12.0,30.0,248.0,51.0,269.0,321.0,3840.0,303.0,143.0,39.0,32.0,20.0,485.0,35.0,28.0,43.0,47.0,77.0,6989.0
2020-05-26,22.0,187.0,2.0,128.0,24.0,31.0,496.0,30.0,9.0,21.0,170.0,53.0,182.0,460.0,3814.0,286.0,273.0,21.0,27.0,30.0,420.0,3.0,63.0,14.0,45.0,197.0,7008.0
2020-05-27,19.0,227.0,8.0,186.0,53.0,20.0,509.0,37.0,14.0,33.0,210.0,90.0,182.0,508.0,4020.0,257.0,152.0,27.0,39.0,26.0,458.0,22.0,65.0,11.0,32.0,176.0,7381.0
2020-05-28,25.0,242.0,9.0,186.0,30.0,32.0,511.0,47.0,10.0,28.0,132.0,70.0,309.0,316.0,3378.0,202.0,85.0,54.0,17.0,22.0,375.0,16.0,67.0,34.0,57.0,210.0,6464.0
2020-05-29,13.0,175.0,9.0,173.0,17.0,20.0,358.0,57.0,11.0,33.0,297.0,77.0,163.0,242.0,3000.0,239.0,185.0,53.0,16.0,4.0,295.0,42.0,52.0,11.0,49.0,172.0,5763.0
2020-05-30,14.0,146.0,9.0,96.0,51.0,18.0,250.0,19.0,11.0,13.0,108.0,48.0,175.0,326.0,2438.0,194.0,110.0,23.0,11.0,12.0,217.0,17.0,64.0,22.0,34.0,207.0,4633.0
2020-05-31,12.0,34.0,3.0,20.0,4.0,5.0,142.0,1.0,3.0,14.0,28.0,15.0,100.0,60.0,1300.0,102.0,291.0,2.0,1.0,3.0,25.0,1.0,39.0,3.0,10.0,50.0,2268.0
2020-06-01,14.0,138.0,6.0,63.0,33.0,30.0,189.0,25.0,12.0,19.0,178.0,47.0,226.0,154.0,1937.0,164.0,175.0,42.0,8.0,33.0,508.0,7.0,97.0,14.0,54.0,114.0,4287.0
2020-06-02,14.0,139.0,13.0,99.0,27.0,23.0,187.0,23.0,5.0,32.0,195.0,67.0,101.0,172.0,1811.0,125.0,167.0,37.0,10.0,10.0,353.0,15.0,106.0,15.0,42.0,39.0,3827.0
2020-06-03,37.0,119.0,11.0,55.0,18.0,34.0,157.0,14.0,29.0,39.0,131.0,47.0,97.0,136.0,852.0,223.0,90.0,40.0,14.0,33.0,279.0,19.0,67.0,14.0,50.0,58.0,2663.0
2020-06-04,37.0,113.0,18.0,51.0,40.0,21.0,215.0,30.0,15.0,85.0,101.0,31.0,178.0,183.0,1768.0,147.0,199.0,106.0,22.0,29.0,500.0,27.0,79.0,15.0,47.0,61.0,4118.0
2020-06-05,50.0,84.0,12.0,119.0,18.0,56.0,244.0,18.0,7.0,46.0,107.0,28.0,126.0,89.0,2617.0,241.0,333.0,26.0,5.0,13.0,472.0,7.0,71.0,22.0,83.0,153.0,5047.0
2020-06-06,38.0,112.0,13.0,138.0,29.0,45.0,269.0,40.0,11.0,15.0,150.0,50.0,157.0,156.0,2355.0,231.0,190.0,23.0,2.0,8.0,448.0,7.0,68.0,16.0,63.0,172.0,4806.0
2020-06-07,12.0,103.0,5.0,34.0,10.0,14.0,98.0,21.0,13.0,14.0,78.0,42.0,46.0,115.0,1627.0,170.0,30.0,8.0,2.0,11.0,76.0,2.0,55.0,3.0,10.0,51.0,2650.0
2020-06-08,58.0,169.0,10.0,107.0,41.0,44.0,279.0,17.0,13.0,44.0,159.0,86.0,192.0,180.0,2148.0,185.0,177.0,56.0,7.0,21.0,346.0,18.0,158.0,13.0,60.0,198.0,4786.0
2020-06-09,75.0,128.0,14.0,126.0,32.0,46.0,213.0,37.0,16.0,45.0,153.0,58.0,260.0,200.0,2589.0,270.0,131.0,40.0,4.0,27.0,472.0,23.0,109.0,16.0,71.0,209.0,5364.0
2020-06-10,61.0,134.0,5.0,145.0,21.0,49.0,418.0,35.0,17.0,37.0,190.0,98.0,327.0,256.0,2574.0,285.0,223.0,63.0,5.0,28.0,426.0,31.0,147.0,8.0,70.0,117.0,5770.0
2020-06-11,75.0,220.0,47.0,157.0,70.0,99.0,435.0,97.0,23.0,145.0,206.0,178.0,301.0,310.0,2808.0,437.0,307.0,50.0,29.0,42.0,588.0,81.0,258.0,61.0,118.0,210.0,7352.0
2020-06-12,72.0,206.0,26.0,134.0,49.0,85.0,337.0,55.0,24.0,74.0,219.0,89.0,249.0,306.0,1972.0,389.0,226.0,38.0,30.0,17.0,468.0,25.0,221.0,16.0,72.0,151.0,5550.0
